row,year,unc_status,transfer,comp_major,major,prereqs,prior_exp,ap_principles,ap_a,other_comp,prior_time,languages,hours_online_social,hours_online_work,tech_best_interests,apps_accessible,identity_my_interaction,id_interact_with_me,interested_connections,social_issues,research_biases,researchers_unbiased,empirical_data,cs_objective,algorithms_objective,tech_impact,pre_lecture_videos,add_livestream,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
1,28,Junior,No,No,Applied Physical Sciences,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 381",1-2 years,Yes,No,UNC,None to less than one month!,"Python, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,4,3,5,6,6,7,6,6,2,4,6,6,3,2,7,5,1,7,7,7,7,,,4,3,6,6,6,7
2,28,Junior,No,No,Applied Sciences,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",1-2 years,No,No,High school course (IB or other),None to less than one month!,"Python, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,5,6,6,6,5,7,7,3,3,3,3,5,3,5,7,5,0,4,7,7,4,,,4,1,6,6,6,6
3,28,Sophomore,No,No,Biology,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,3 to 5 hours,0 to 2 hours,6,6,5,5,5,6,6,6,5,6,6,6,5,5,6,6,1,5,6,6,6,,,4,3,6,5,6,6
4,28,Sophomore,No,No,Biology,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,6,7,7,7,3,7,7,7,6,7,6,6,7,7,6,6,2,5,5,4,6,,6,6,6,3,5,6,3
5,28,Senior,No,No,Biology,"MATH 129P, MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,10+ hours,5 to 10 hours,1,7,7,7,7,7,7,6,4,5,5,5,4,6,5,3,0,4,5,5,1,,,2,3,5,4,5,6
6,29,Freshman,No,No,Biology,"MATH 129P, MATH 231, STOR 155",2-6 months,No,No,Another college or community college,None to less than one month!,"Python, HTML / CSS",3 to 5 hours,5 to 10 hours,1,7,2,2,7,7,7,2,1,6,7,6,2,1,7,6,0,2,6,7,7,,,4,4,6,7,7,7
7,28,Sophomore,No,No,Biology,"MATH 130, MATH 231",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,3,7,5,6,7,7,6,3,4,5,4,5,6,7,7,6,1,7,7,7,7,5,,5,4,2,6,7,7
8,29,Freshman,No,No,Biology,"MATH 130, MATH 231",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,6,6,6,3,1,5,5,3,5,6,5,7,7,5,3,1,7,7,7,7,7,7,4,4,5,6,6,7
9,29,Sophomore,No,No,Biology,"MATH 129P, MATH 231",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,5,6,7,7,5,6,4,2,3,4,5,5,6,4,4,5,0,4,4,6,6,,,5,3,5,7,5,5
10,27,Senior,No,No,Biology,"MATH 231, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,Python,3 to 5 hours,3 to 5 hours,4,4,1,1,2,3,6,4,3,2,6,6,5,5,6,5,0,5,4,7,7,,,5,4,4,4,4,4
11,29,Sophomore,No,No,Biology,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,4,3,6,2,6,6,6,3,3,4,4,5,6,6,6,6,0,6,6,6,6,,,4,3,6,6,6,6
12,28,Sophomore,No,No,Biology,STOR 155,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,7,2,2,4,4,2,4,4,5,6,6,6,6,6,3,2,5,4,4,6,6,,4,5,4,6,5,6
13,26,Senior,No,No,Biology,"MATH 129P, STOR 151",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,6,2,2,6,5,6,3,1,3,3,7,4,6,7,4,2,2,7,7,4,,,5,4,4,7,7,5
14,29,Freshman,No,No,Biology,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,6,6,5,5,4,6,6,4,3,4,3,5,4,3,7,3,1,6,4,6,6,4,6,4,5,5,5,5,6
15,26,Senior,No,No,Biology,MATH 231,None to less than one month!,,,,,,10+ hours,5 to 10 hours,4,4,1,1,3,6,6,7,5,2,5,6,7,7,6,4,0,6,6,7,7,,,5,5,4,6,7,6
16,26,Senior,No,No,Biology,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233",2-6 months,No,No,On-line course,None to less than one month!,"Python, C / C++, R / Matlab / SAS",0 to 2 hours,5 to 10 hours,1,3,4,4,7,7,7,3,3,7,7,7,7,7,4,4,1,7,7,7,7,7,7,7,4,7,1,1,1
17,26,Senior,No,No,Biology,"MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,5,4,6,5,7,6,5,4,4,4,6,6,5,7,3,1,6,4,4,4,,,5,5,2,6,5,6
18,28,Sophomore,No,No,Biology,"MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,7,1,1,3,1,4,6,4,2,6,6,6,7,7,4,1,4,4,7,5,,4,4,5,5,4,1,2
19,28,Sophomore,No,No,Biology,STOR 155,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,7,3,1,1,4,4,5,4,4,4,4,6,5,5,5,3,4,4,4,5,4,4,7,7,3,1,4,1
20,29,Freshman,No,No,Biology,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,4,4,5,5,4,4,4,5,5,5,5,5,4,5,4,1,5,5,5,5,,5,4,5,4,5,5,4
21,28,Sophomore,No,No,Biology,"MATH 231, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,Java / C#,3 to 5 hours,3 to 5 hours,4,4,1,6,5,5,1,7,3,4,1,7,5,7,7,6,0,1,7,7,7,6,4,6,6,3,5,6,5
22,27,Junior,No,No,Biology,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 120",None to less than one month!,,,,,,10+ hours,5 to 10 hours,7,7,1,1,7,3,7,1,1,5,6,7,4,7,2,6,1,4,7,7,7,4,4,7,7,6,4,7,4
23,29,Junior,No,No,Biology,"MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,4,5,3,6,7,6,4,1,4,2,6,4,5,3,6,1,6,4,5,5,,,6,4,5,7,7,5
24,28,Sophomore,No,No,Biology,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233",2-6 months,No,No,On-line course,7-12 months,Python,0 to 2 hours,3 to 5 hours,6,4,1,1,6,6,7,5,5,5,6,7,3,6,3,2,0,5,6,6,4,4,4,5,5,5,6,7,7
