row,year,unc_status,transfer,comp_major,major,prereqs,prior_exp,ap_principles,ap_a,other_comp,prior_time,languages,hours_online_social,hours_online_work,tech_best_interests,apps_accessible,identity_my_interaction,id_interact_with_me,interested_connections,social_issues,research_biases,researchers_unbiased,empirical_data,cs_objective,algorithms_objective,tech_impact,pre_lecture_videos,add_livestream,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
1,27,Senior,No,No,Chemistry,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,6,3,5,4,5,6,3,4,5,5,5,3,5,7,5,0,4,5,6,7,4,4,4,4,5,5,4,6
2,28,Sophomore,Yes,No,Economics,"MATH 232, MATH 233",2-6 months,No,No,Another college or community college,None to less than one month!,Python,0 to 2 hours,3 to 5 hours,4,5,7,7,6,7,7,6,4,6,5,4,7,6,5,7,0,5,4,7,7,,,4,4,5,7,7,7
3,29,Freshman,No,No,Statistics and Analytics,MATH 231,None to less than one month!,,,,,,3 to 5 hours,0 to 2 hours,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4
4,28,Sophomore,No,No,Psychology,"MATH 231, MATH 232, PSYC 210, STOR 155",None to less than one month!,,,,,,0 to 2 hours,0 to 2 hours,4,4,2,2,3,3,3,3,4,4,4,4,1,2,4,5,3,5,5,5,5,,,4,4,4,3,5,5
5,28,Sophomore,No,No,Environmental Science/Studies,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,4,6,3,2,3,5,4,3,4,5,6,4,2,3,4,2,0,2,6,6,6,,,5,4,6,5,4,5
6,28,Sophomore,No,No,Business,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,10+ hours,3 to 5 hours,6,4,5,5,5,6,5,6,6,7,6,4,7,7,3,3,0,6,5,5,5,,,4,6,3,6,5,5
7,28,Sophomore,No,No,Environmental Science/Studies,"MATH 152, MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,1,5,7,4,7,5,2,2,2,1,2,3,3,3,2,1,3,1,6,4,,,3,6,1,3,4,4
8,28,Junior,No,No,Neuroscience,"MATH 130, MATH 231, MATH 232",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,4,6,2,2,2,3,6,5,3,4,3,4,3,5,5,2,0,2,2,4,6,4,4,4,5,4,3,1,3
9,29,Sophomore,No,Yes - BS,Mathematics,"MATH 231, MATH 232, MATH 233, PSYC 210, STOR 155",2-6 months,Yes,Yes,None,None to less than one month!,Python,3 to 5 hours,3 to 5 hours,4,6,3,3,5,5,5,5,4,4,4,5,5,4,4,5,1,3,3,5,5,,,4,2,6,5,6,6
10,28,Senior,No,No,Environmental Science/Studies,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,No,No,UNC,2-6 months,"Python, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,3,6,3,4,4,6,6,5,5,4,4,2,1,5,7,4,0,3,4,6,6,,,5,4,4,1,5,3
